n,t_s,x,y
0,0.0,-1.0,-138.317153
1,0.0009999997560000595,1062.0,-78.301292
2,0.001999999512000119,1713.0,11.263772
3,0.0029999992680001786,1711.0,96.250579
4,0.003999999024000238,1058.0,144.338043
5,0.004999998780000298,-2.0,137.021133
6,0.005999998536000357,-1062.0,77.070075
7,0.006999998292000417,-1712.0,-12.383429
8,0.007999998048000476,-1712.0,-97.364257
9,0.008999997804000535,-1057.0,-145.346038
10,0.009999997560000596,-1.0,-138.128738
11,0.010999997316000655,1061.0,-78.172294
12,0.011999997072000715,1713.0,11.38632
13,0.012999996828000775,1712.0,96.416999
14,0.013999996584000834,1059.0,144.546157
15,0.014999996340000894,1.0,137.36885
16,0.015999996096000953,-1063.0,77.350402
17,0.016999995852001012,-1712.0,-12.117116
18,0.01799999560800107,-1712.0,-97.111267
19,0.018999995364001133,-1059.0,-145.205703
20,0.019999995120001193,1.0,-137.895416
21,0.02099999487600125,1063.0,-77.850646
22,0.02199999463200131,1712.0,11.641884
23,0.02299999438800137,1714.0,96.759796
24,0.02399999414400143,1060.0,144.921813
25,0.024999993900001488,-1.0,137.625717
26,0.02599999365600155,-1062.0,77.644432
27,0.02699999341200161,-1712.0,-11.83779
28,0.02799999316800167,-1715.0,-96.995903
29,0.028999992924001728,-1059.0,-145.096115
30,0.029999992680001787,1.0,-137.791305
31,0.030999992436001846,1074.0,-77.201744
32,0.031999992192001905,1711.0,12.208347
33,0.03299999194800197,1712.0,97.197929
34,0.033999991704002024,1060.0,145.338027
35,0.034999991460002086,0.0,138.071121
36,0.03599999121600214,-1061.0,78.117561
37,0.036999990972002204,-1712.0,-11.388319
38,0.03799999072800227,-1711.0,-96.368904
39,0.03899999048400232,-1060.0,-144.55046
40,0.039999990240002385,-1.0,-137.37294
41,0.04099998999600244,1062.0,-77.404289
42,0.0419999897520025,1718.0,12.365927
43,0.04299998950800256,1708.0,97.147628
44,0.04399998926400262,1060.0,145.290252
45,0.044999989020002684,0.0,138.025741
46,0.04599998877600274,-1061.0,78.074455
47,0.0469999885320028,-1712.0,-11.429269
48,0.04799998828800286,-1711.0,-96.407806
49,0.04899998804400292,-1059.0,-144.537414
50,0.049999987800002976,0.0,-137.310546
51,0.05099998755600304,1061.0,-77.395019
52,0.0519999873120031,1713.0,12.124733
53,0.05299998706800316,1713.0,97.168495
54,0.05399998682400322,1052.0,144.910064
55,0.054999986580003275,0.0,137.664566
56,0.05599998633600334,-1061.0,77.731338
57,0.056999986092003394,-1712.0,-11.755229
58,0.057999985848003456,-1711.0,-96.717468
59,0.05899998560400352,-1059.0,-144.831588
60,0.059999985360003574,-1.0,-137.640014
61,0.06099998511600364,1064.0,-77.558013
62,0.06199998487200369,1712.0,11.919887
63,0.06299998462800376,1713.0,96.973892
64,0.06399998438400381,1059.0,145.075195
65,0.06499998414000387,-1.0,137.771438
66,0.06599998389600394,-1059.0,77.932861
67,0.06699998365200399,-1706.0,-11.263784
68,0.06799998340800405,-1713.0,-96.350593
69,0.06899998316400412,-1060.0,-144.533065
70,0.06999998292000417,-1.0,-137.356414
71,0.07099998267600423,1061.0,-77.438591
72,0.07199998243200428,1712.0,12.033341
73,0.07299998218800435,1712.0,97.031677
74,0.07399998194400441,1059.0,145.130096
75,0.07499998170000446,-1.0,137.823593
76,0.07599998145600453,-1062.0,77.832412
77,0.07699998121200459,-1720.0,-12.059209
78,0.07799998096800465,-1712.0,-97.056251
79,0.0789999807240047,-1060.0,-145.203445
80,0.07999998048000477,-1.0,-137.99327
81,0.08099998023600483,1065.0,-77.843605
82,0.08199997999200488,1712.0,11.648578
83,0.08299997974800495,1712.0,96.666152
84,0.083999979504005,1059.0,144.782852
85,0.08499997926000506,-1.0,137.493713
86,0.08599997901600512,-1062.0,77.519027
87,0.08699997877200519,-1713.0,-12.006926
88,0.08799997852800524,-1711.0,-96.956581
89,0.0889999782840053,-1060.0,-145.108749
90,0.08999997804000537,0.0,-137.853317
91,0.09099997779600542,1062.0,-77.860649
92,0.09199997755200548,1713.0,11.682382
93,0.09299997730800554,1714.0,96.798263
94,0.0939999770640056,1060.0,144.958343
95,0.09499997682000566,0.0,137.710418
96,0.09599997657600572,-1061.0,77.774894
97,0.09699997633200579,-1711.0,-11.663852
98,0.09799997608800584,-1713.0,-96.730659
99,0.0989999758440059,-1059.0,-144.844131
100,0.09999997560000595,-1.0,-137.651931
101,0.10099997535600602,1061.0,-77.719329
102,0.10199997511200608,1712.0,11.76664
103,0.10299997486800613,1712.0,96.778312
104,0.1039999746240062,1060.0,144.939392
105,0.10499997438000626,-1.0,137.642425
106,0.10599997413600631,-1062.0,77.660301
107,0.10699997389200637,-1710.0,-11.722715
108,0.10799997364800644,-1711.0,-96.686584
109,0.1089999734040065,-1060.0,-144.852249
110,0.10999997316000655,-1.0,-137.659637
111,0.11099997291600662,1062.0,-77.676651
112,0.11199997267200668,1712.0,11.807183
113,0.11299997242800673,1712.0,96.816825
114,0.11399997218400679,1060.0,144.975982
115,0.11499997194000686,0.0,137.727188
116,0.11599997169600691,-1060.0,77.840827
117,0.11699997145200697,-1712.0,-11.651215
118,0.11799997120800704,-1712.0,-96.668655
119,0.11899997096400709,-1059.0,-144.785217
120,0.11999997072000715,0.0,-137.545959
121,0.1209999704760072,1061.0,-77.618659
122,0.12199997023200727,1717.0,12.112275
123,0.12299996998800733,1713.0,97.156661
124,0.12399996974400739,1060.0,145.298828
125,0.12499996950000745,-1.0,137.983886
126,0.1259999692560075,-1062.0,77.984687
127,0.12699996901200758,-1711.0,-11.464551
128,0.12799996876800762,-1712.0,-96.491325
129,0.1289999685240077,-1059.0,-144.61676
130,0.12999996828000773,0.0,-137.385925
131,0.1309999680360078,1061.0,-77.466621
132,0.13199996779200787,1713.0,12.056715
133,0.1329999675480079,1713.0,97.103874
134,0.13399996730400798,1060.0,145.248687
135,0.13499996706000805,0.0,137.986251
136,0.1359999668160081,-1062.0,77.986938
137,0.13699996657200816,-1712.0,-11.512411
138,0.13799996632800823,-1712.0,-96.536788
139,0.13899996608400828,-1060.0,-144.709945
140,0.13999996584000834,-1.0,-137.524444
141,0.14099996559600841,1061.0,-77.59822
142,0.14199996535200846,1714.0,11.981695
143,0.14299996510800853,1690.0,95.882614
144,0.14399996486400857,1059.0,144.038482
145,0.14499996462000864,0.0,136.836563
146,0.1459999643760087,-1061.0,76.944732
147,0.14699996413200875,-1710.0,-12.402504
148,0.14799996388800882,-1712.0,-97.382385
149,0.1489999636440089,-1058.0,-145.413269
150,0.14999996340000893,-1.0,-138.192611
151,0.150999963156009,1065.0,-78.032981
152,0.15199996291200907,1712.0,11.468667
153,0.1529999626680091,1711.0,96.445236
154,0.15399996242400918,1061.0,144.672973
155,0.15499996218000925,-1.0,137.389328
156,0.1559999619360093,-1061.0,77.469863
157,0.15699996169200936,-1712.0,-12.00363
158,0.1579999614480094,-1712.0,-97.003448
159,0.15899996120400947,-1060.0,-145.153274
160,0.15999996096000954,0.0,-137.895614
161,0.16099996071600958,1059.0,-78.050834
162,0.16199996047200965,1713.0,11.501707
163,0.16299996022800972,1713.0,96.576622
164,0.16399995998400976,1059.0,144.697799
165,0.16499995974000983,1.0,137.512908
166,0.1659999594960099,-1062.0,77.537261
167,0.16699995925200994,-1711.0,-11.889601
168,0.16799995900801,-1712.0,-96.895118
169,0.16899995876401008,-1060.0,-145.050369
170,0.16999995852001012,1.0,-137.747848
171,0.1709999582760102,1062.0,-77.760459
172,0.17199995803201024,1712.0,11.727567
173,0.1729999577880103,1711.0,96.691192
174,0.17399995754401038,1060.0,144.856628
175,0.17499995730001042,-1.0,137.563796
176,0.1759999570560105,-1061.0,77.635604
177,0.17699995681201056,-1712.0,-11.846178
178,0.1779999565680106,-1712.0,-96.853866
179,0.17899995632401067,-1060.0,-145.011169
180,0.17999995608001074,-1.0,-137.810607
181,0.18099995583601078,1061.0,-77.870079
182,0.18199995559201085,1712.0,11.623429
183,0.18299995534801092,1711.0,96.592262
184,0.18399995510401096,1059.0,144.712646
185,0.18499995486001103,0.0,137.47702
186,0.18599995461601107,-1062.0,77.503166
187,0.18699995437201114,-1711.0,-11.921995
188,0.1879999541280112,-1711.0,-96.875892
189,0.18899995388401125,-1059.0,-144.982101
190,0.18999995364001132,0.0,-137.733001
191,0.1909999533960114,1062.0,-77.746345
192,0.19199995315201143,1712.0,11.740973
193,0.1929999529080115,1713.0,96.803924
194,0.19399995266401157,1061.0,145.013732
195,0.1949999524200116,0.0,137.763046
196,0.19599995217601168,-1061.0,77.82489
197,0.19699995193201172,-1713.0,-11.71636
198,0.1979999516880118,-1711.0,-96.680541
199,0.19899995144401186,-1060.0,-144.846511
200,0.1999999512000119,-1.0,-137.65419
201,0.20099995095601197,1062.0,-77.671478
202,0.20199995071201204,1712.0,11.812099
203,0.20299995046801209,1712.0,96.821495
204,0.20399995022401216,1059.0,144.930419
205,0.20499994998001222,-2.0,137.583892
206,0.20599994973601227,-1062.0,77.604698
207,0.20699994949201234,-1710.0,-11.775541
208,0.2079999492480124,-1712.0,-96.786766
209,0.20899994900401245,-1060.0,-144.947433
210,0.20999994876001252,0.0,-137.700057
211,0.21099994851601256,1061.0,-77.765052
212,0.21199994827201263,1712.0,11.723199
213,0.2129999480280127,1713.0,96.78704
214,0.21399994778401274,1062.0,145.047683
215,0.2149999475400128,0.0,137.795303
216,0.21599994729601288,-1061.0,77.855537
217,0.21699994705201292,-1712.0,-11.637244
218,0.217999946808013,-1712.0,-96.655387
219,0.21899994656401306,-1060.0,-144.822616
220,0.2199999463200131,-1.0,-137.631484
221,0.22099994607601317,1060.0,-77.749908
222,0.22199994583201324,1713.0,11.787588
223,0.22299994558801328,1712.0,96.79821
224,0.22399994534401335,1059.0,144.908294
225,0.2249999451000134,0.0,137.662872
226,0.22599994485601346,-1061.0,77.729728
227,0.22699994461201353,-1712.0,-11.75676
228,0.22799994436801357,-1713.0,-96.818923
229,0.22899994412401364,-1059.0,-144.927978
230,0.2299999438800137,0.0,-137.681579
231,0.23099994363601375,1062.0,-77.697494
232,0.23199994339201382,1713.0,11.837383
233,0.2329999431480139,1713.0,96.895515
234,0.23399994290401394,1067.0,145.400741
235,0.234999942660014,0.0,138.130706
236,0.23599994241601407,-1062.0,78.124168
237,0.23699994217201412,-1712.0,-11.38204
238,0.23799994192801419,-1712.0,-96.41294
239,0.23899994168401423,-1060.0,-144.5923
240,0.2399999414400143,-1.0,-137.412689
241,0.24099994119601437,1062.0,-77.442054
242,0.2419999409520144,1712.0,12.030048
243,0.24299994070801448,1713.0,97.078544
244,0.24399994046401455,1060.0,145.224624
245,0.2449999402200146,0.0,137.963394
246,0.24599993997601466,-1061.0,78.01522
247,0.24699993973201473,-1712.0,-11.485544
248,0.24799993948801477,-1711.0,-96.461265
249,0.24899993924401484,-1060.0,-144.638198
250,0.2499999390000149,0.0,-137.406295
251,0.25099993875601495,1062.0,-77.435981
252,0.251999938512015,1713.0,12.085822
253,0.2529999382680151,1712.0,97.081535
254,0.25399993802401516,1060.0,145.227462
255,0.2549999377800152,0.0,137.966094
256,0.25599993753601524,-1062.0,77.967788
257,0.2569999372920153,-1708.0,-11.330602
258,0.2579999370480154,-1712.0,-96.364074
259,0.25899993680401545,-1061.0,-144.59587
260,0.25999993656001547,-1.0,-137.416076
261,0.26099993631601554,1061.0,-77.495277
262,0.2619999360720156,1713.0,12.029486
263,0.2629999358280157,1713.0,97.07801
264,0.26399993558401574,1060.0,145.224105
265,0.2649999353400158,0.0,137.962905
266,0.2659999350960158,-1061.0,78.014762
267,0.2669999348520159,-1715.0,-11.635977
268,0.26799993460801597,-1712.0,-96.654182
269,0.26899993436401604,-1060.0,-144.821472
270,0.2699999341200161,0.0,-137.580398
271,0.2709999338760162,1061.0,-77.651374
272,0.2719999336320162,1715.0,11.981195
273,0.27299993338801626,1714.0,97.082138
274,0.2739999331440163,1060.0,145.228027
275,0.2749999329000164,-1.0,137.916625
276,0.27599993265601647,-1062.0,77.920791
277,0.2769999324120165,-1713.0,-11.625249
278,0.27799993216801655,-1710.0,-96.543991
279,0.2789999319240166,-1060.0,-144.716796
280,0.2799999316800167,1.0,-137.430953
281,0.28099993143601676,1060.0,-77.55941
282,0.28199993119201683,1711.0,11.868564
283,0.28299993094801684,1713.0,96.92514
284,0.2839999307040169,1061.0,145.128875
285,0.284999930460017,0.0,137.872436
286,0.28599993021601705,-1061.0,77.92881
287,0.2869999299720171,-1712.0,-11.567633
288,0.28799992972801713,-1711.0,-96.539253
289,0.2889999294840172,-1064.0,-144.912292
290,0.2899999292400173,1.0,-137.616683
291,0.29099992899601734,1060.0,-77.735847
292,0.2919999287520174,1712.0,11.750946
293,0.2929999285080175,1719.0,97.113395
294,0.2939999282640175,1061.0,145.307723
295,0.29499992802001757,-1.0,137.99234
296,0.29599992777601764,-1061.0,78.042724
297,0.2969999275320177,-1712.0,-11.459413
298,0.2979999272880178,-1713.0,-96.536437
299,0.2989999270440178,-1059.0,-144.659622
300,0.29999992680001786,0.0,-137.426635
301,0.3009999265560179,1061.0,-77.505302
302,0.301999926312018,1712.0,11.969962
303,0.30299992606801807,1711.0,96.921463
304,0.30399992582401814,1059.0,145.02539
305,0.30499992558001815,0.0,137.774124
306,0.3059999253360182,-1062.0,77.785415
307,0.3069999250920183,-1712.0,-11.703856
308,0.30799992484801836,-1713.0,-96.768661
309,0.3089999246040184,-1060.0,-144.930221
310,0.3099999243600185,0.0,-137.683715
311,0.3109999241160185,1063.0,-77.649528
312,0.3119999238720186,1713.0,11.88295
313,0.31299992362801865,1712.0,96.888801
314,0.3139999233840187,1063.0,145.194366
315,0.3149999231400188,1.0,137.984649
316,0.3159999228960188,-1062.0,77.98542
317,0.3169999226520189,-1710.0,-11.413855
318,0.31799992240801894,-1712.0,-96.443168
319,0.318999922164019,-1059.0,-144.571014
320,0.3199999219200191,1.0,-137.292465
321,0.32099992167601915,1062.0,-77.327842
322,0.32199992143201916,1712.0,12.138553
323,0.32299992118801923,1709.0,96.981628
324,0.3239999209440193,1058.0,145.032546
325,0.3249999207000194,-1.0,137.730926
326,0.32599992045601944,-1062.0,77.744377
327,0.32699992021201946,-1712.0,-11.742844
328,0.3279999199680195,-1712.0,-96.755706
329,0.3289999197240196,-1060.0,-144.917922
330,0.32999991948001967,-1.0,-137.72203
331,0.33099991923601974,1062.0,-77.735923
332,0.3319999189920198,1711.0,11.700876
333,0.3329999187480198,1712.0,96.715827
334,0.3339999185040199,1063.0,145.030044
335,0.33499991826001996,-1.0,137.728546
336,0.33599991801602,-1061.0,77.792121
337,0.3369999177720201,-1712.0,-11.697485
338,0.33799991752802017,-1712.0,-96.712608
339,0.3389999172840202,-1097.0,-146.726974
340,0.33999991704002025,-1.0,-139.440628
341,0.3409999167960203,1061.0,-79.418594
342,0.3419999165520204,1713.0,10.202337
343,0.34299991630802046,1712.0,95.292221
344,0.3439999160640205,1059.0,143.477615
345,0.34499991582002054,-1.0,136.253738
346,0.3459999155760206,-1061.0,76.391044
347,0.3469999153320207,-1713.0,-13.078507
348,0.34799991508802075,-1712.0,-98.024581
349,0.3489999148440208,-1042.0,-145.223358
350,0.34999991460002083,0.0,-137.962188
351,0.3509999143560209,1061.0,-78.014076
352,0.351999914112021,1712.0,11.486627
353,0.35299991386802104,1712.0,96.512298
354,0.3539999136240211,1059.0,144.636688
355,0.3549999133800211,0.0,137.404846
356,0.3559999131360212,-1061.0,77.484603
357,0.35699991289202126,-1711.0,-11.939629
358,0.35799991264802133,-1712.0,-96.942649
359,0.3589999124040214,-1060.0,-145.09552
360,0.3599999121600215,-1.0,-137.890747
361,0.3609999119160215,1062.0,-77.896209
362,0.36199991167202156,1712.0,11.598604
363,0.3629999114280216,1711.0,96.568672
364,0.3639999111840217,1060.0,144.740234
365,0.36499991094002177,7.0,137.853225
366,0.36599991069602184,-1061.0,77.91056
367,0.36699991045202185,-1712.0,-11.584967
368,0.3679999102080219,-1712.0,-96.60572
369,0.368999909964022,-1063.0,-144.92543
370,0.36999990972002206,1.0,-137.629165
371,0.3709999094760221,1062.0,-77.647705
372,0.37199990923202214,1712.0,11.834682
373,0.3729999089880222,1713.0,96.892944
374,0.3739999087440223,1059.0,144.998291
375,0.37499990850002235,1.0,137.79837
376,0.3759999082560224,-1062.0,77.808448
377,0.3769999080120225,-1712.0,-11.681977
378,0.3779999077680225,-1712.0,-96.697875
379,0.3789999075240226,-1059.0,-144.812988
380,0.37999990728002264,-1.0,-137.622344
381,0.3809999070360227,1060.0,-77.741226
382,0.3819999067920228,1735.0,12.895836
383,0.3829999065480228,1713.0,97.901046
384,0.38399990630402286,1060.0,146.005996
385,0.38499990606002293,-1.0,138.6557
386,0.385999905816023,-1063.0,78.572914
387,0.3869999055720231,-1712.0,-10.955732
388,0.38799990532802314,-1712.0,-96.007949
389,0.38899990508402316,-1059.0,-144.157546
390,0.3899999048400232,1.0,-136.899673
391,0.3909999045960233,1063.0,-76.904685
392,0.39199990435202337,1713.0,12.590549
393,0.39299990410802343,1712.0,97.561019
394,0.39399990386402345,1060.0,145.682968
395,0.3949999036200235,-1.0,138.348815
396,0.3959999033760236,-1062.0,78.331367
397,0.39699990313202366,-1711.0,-11.135206
398,0.3979999028880237,-1711.0,-96.12844
399,0.3989999026440238,-1061.0,-144.372024
400,0.3999999024000238,0.0,-137.153427
401,0.4009999021560239,1062.0,-77.195755
402,0.40199990191202395,1711.0,12.214036
403,0.402999901668024,1713.0,97.253334
404,0.4039999014240241,1061.0,145.440673
405,0.40499990118002416,0.0,138.16864
406,0.40599990093602417,-1062.0,78.160202
407,0.40699990069202424,-1711.0,-11.297807
408,0.4079999004480243,-1712.0,-96.332916
409,0.4089999002040244,-1059.0,-144.466278
410,0.40999989996002445,0.0,-137.242965
411,0.41099989971602446,1061.0,-77.330818
412,0.41199989947202453,1713.0,12.185724
413,0.4129998992280246,1711.0,97.126441
414,0.4139998989840247,1061.0,145.320114
415,0.41499989874002474,-2.0,137.954101
416,0.4159998984960248,-1062.0,77.956398
417,0.4169998982520248,-1712.0,-11.541425
418,0.4179998980080249,-1711.0,-96.514358
419,0.41899989776402496,-1059.0,-144.638641
420,0.41999989752002503,-1.0,-137.45671
421,0.4209998972760251,1063.0,-77.433876
422,0.4219998970320251,1713.0,12.087818
423,0.4229998967880252,1712.0,97.083427
424,0.42399989654402526,1060.0,145.229263
425,0.4249998963000253,0.0,137.967803
426,0.4259998960560254,-1062.0,77.969413
427,0.42699989581202547,-1712.0,-11.529056
428,0.4279998955680255,-1712.0,-96.552604
429,0.42899989532402555,-1060.0,-144.724975
430,0.4299998950800256,-1.0,-137.538726
431,0.4309998948360257,1062.0,-77.56179
432,0.43199989459202576,1712.0,11.916299
433,0.4329998943480258,1712.0,96.920486
434,0.43399989410402584,1059.0,145.024459
435,0.4349998938600259,1.0,137.823242
436,0.435999893616026,-1061.0,77.88208
437,0.43699989337202605,-1710.0,-11.512025
438,0.4379998931280261,-1712.0,-96.536422
439,0.43899989288402613,-1060.0,-144.709594
440,0.4399998926400262,1.0,-137.424118
441,0.44099989239602627,1061.0,-77.502914
442,0.44199989215202634,1712.0,11.972234
443,0.4429998919080264,1712.0,96.973617
444,0.4439998916640265,1061.0,145.174942
